posicao_id,distancia,cobertura
273,110,Rua
273,75,Floresta
274,75,Floresta
274,110,Rua
275,75,Floresta
275,110,Rua
276,110,Rua
276,75,Floresta
277,110,Rua
277,75,Floresta
278,110,Rua
278,75,Floresta
279,110,Rua
279,75,Floresta
280,75,Floresta
280,110,Rua
281,75,Floresta
281,110,Rua
282,75,Floresta
282,110,Rua
283,75,Floresta
283,110,Rua
284,110,Rua
284,75,Floresta
285,110,Rua
285,75,Floresta
286,75,Floresta
286,110,Rua
287,110,Rua
287,75,Floresta
288,110,Rua
288,75,Floresta
289,75,Floresta
289,239,Rua
290,75,Floresta
290,239,Rua
291,75,Floresta
291,239,Rua
292,75,Floresta
292,239,Rua
293,75,Floresta
293,239,Rua
294,75,Floresta
294,239,Rua
295,75,Floresta
295,239,Rua
296,239,Rua
296,75,Floresta
297,75,Floresta
297,239,Rua
298,75,Floresta
298,239,Rua
299,75,Floresta
299,239,Rua
300,75,Floresta
300,239,Rua
301,239,Rua
301,75,Floresta
302,239,Rua
302,75,Floresta
303,75,Floresta
303,239,Rua
304,239,Rua
304,75,Floresta
